Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C22, C23, C24, C31, C32, C34, C35, C41",0402,9,1u,C52923
"C10, C15",0402,2,22n,C1532
"C11, C12, C16, C18, C21, C26, C27, C28, C29, C3, C30, C33, C37, C38, C4, C40, C5, C6, C7",0402,19,0u1,C307331
"C13, C14",0603,2,20p,C1648
"C17, C25, C36",0402,3,10n,C15195
C19,0603,1,0u47,C1623
"C2, C39, C43, C8, C9",0805,5,10u,C440198
"C20, C42",CP_Elec_6.3x7.7,2,100u,C165974
D1,0805,1,YELLOW,C2296
D2,0603,1,WHITE,C2290
D3,0805,1,GREEN,C2297
D4,0603,1,RED,C2286
D5,D_SMB,1,D_TVS,C2925441
D6,D_SOD-323,1,100,C2128
D7,D_SOD-123,1,16,C19077429
"FB1, FB2",0805,2,600Ω@100M,C1015
"Q1, Q2",Vishay_PowerPAK_1212-8_Single,2,Q_NMOS,C111309
"R1, R32, R33, R6",0402,4,5k1,C25905
"R10, R11, R12",0603,3,47,C23182
"R13, R21",0603,2,330k,C23137
"R14, R25, R28",0402,3,100,C25076
"R15, R16, R17, R18, R2, R29, R31",0402,7,10k,C25744
R19,0603,1,560,C23204
"R20, R22, R23, R24, R26",0402,5,1k,C11702
R27,1206,1,10m/1W,C105362
"R3, R4, R5",0603,3,6k8,C23212
"R30, R35",0402,2,1M,C26083
R34,0603,1,3M,C23156
R36,0603,1,470k,C23178
"R37, R38, R39",0402,3,47k,C25792
"R7, R9",0603,2,20k,C4184
R8,1206,1,120,C17909
"SW1, SW2, SW3",SW_SPST_TS-1088-xR020,3,SW_Push,C720477
U1,TO-252-2,1,LM78M05,C5145267
U10,Texas_RRW0024A_WQFN-24-1EP_2x2mm_P0.4mmThermalVias,1,DRV8311H,C5218862
U2,SOT-89-3,1,HT753-1,C14289
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,C12084
"U4, U5, U6",OnSemi_CASE100CY,3,QRE1113GR,C232862
U7,Texas_RGE0024B_VQFN-24-1EP_4x4mm_P0.5mm_EP2.5x2.5mm_ThermalVias,1,DRV8424RGER,C1518725
U8,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8Tx,C8734
U9,TSSOP-20_4.4x6.5mm_P0.65mm,1,BQ77905,C2866527
Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,8M,C115962
