Designator,Mid X,Mid Y,Rotation,Layer
BT1,45.88,61.145,0.0,bottom
BT2,45.87,43.65625,180.0,bottom
BT3,45.87,15.2775,0.0,bottom
C1,18.0,62.42,180.0,top
C10,42.6075,67.99,90.0,top
C11,36.5,33.02,270.0,top
C12,48.038566,29.077927,180.0,top
C13,33.5,41.0,0.0,top
C14,33.5,33.0,0.0,top
C15,42.0,70.0,90.0,top
C16,51.5,37.02,270.0,top
C17,41.0,71.0,90.0,top
C18,42.5,41.02,0.0,top
C19,34.0,67.99,90.0,top
C2,24.05,59.77,0.0,top
C20,47.6075,68.2,90.0,top
C21,40.137609,38.586151,180.0,top
C22,34.5,65.0,270.0,top
C23,37.73,27.25,180.0,top
C24,38.0,32.25,180.0,top
C25,38.0,33.25,180.0,top
C26,76.48,15.5,180.0,top
C27,73.3375,8.77,180.0,top
C28,73.3375,10.77,180.0,top
C29,73.3375,12.51,180.0,top
C3,71.5,40.5,90.0,top
C30,75.48,14.5,0.0,top
C31,71.3375,7.77,180.0,top
C32,76.5,63.5,0.0,top
C33,74.48,15.5,0.0,top
C34,71.3375,8.77,0.0,top
C35,74.5,68.0,0.0,top
C36,74.5,67.0,0.0,top
C37,74.0,70.77,90.0,top
C38,72.25,71.5,0.0,top
C39,72.73,73.75,0.0,top
C4,78.5,40.5,90.0,top
C40,75.0,70.77,90.0,top
C41,67.25,68.5,180.0,top
C42,73.73,78.77,0.0,top
C43,76.25,72.75,180.0,top
C5,85.4,40.5,90.0,top
C6,18.0,18.0,0.0,top
C7,15.0,62.42,0.0,top
C8,24.05,50.77,180.0,top
C9,27.9525,46.79,90.0,top
D1,13.51,47.77,0.0,top
D2,18.5,42.0,0.0,top
D3,72.0,27.5,180.0,top
D4,72.0,25.5,180.0,top
D5,17.5,70.0,180.0,top
D6,56.895,13.77,270.0,top
D7,53.895,16.77,90.0,top
FB1,38.25,29.75,270.0,top
FB2,74.25,64.75,270.0,top
FID1,10.0,17.5,0.0,top
FID2,82.5,15.0,0.0,top
FID3,82.5,62.5,0.0,top
J1,18.2675,4.77,270.0,top
J10,73.75,56.75,270.0,top
J11,63.73,56.72,270.0,top
J12,68.67,56.75,270.0,top
J13,2.75,30.0,0.0,top
J2,30.355,58.5,90.0,top
J3,47.5,58.5,90.0,top
J4,33.23,5.135,270.0,top
J5,43.055,58.5,90.0,top
J6,39.245,58.5,90.0,top
J7,34.8,58.5,90.0,top
J8,17.46,80.0,180.0,top
J9,46.2075,4.77,270.0,top
JP1,23.5,11.5,270.0,top
JP2,13.5,11.5,270.0,top
JP3,20.0275,45.94,0.0,top
JP4,45.0,22.75,90.0,top
M1,36.6075,75.99,180.0,top
M2,64.25,77.5,270.0,top
Q1,63.895,18.77,180.0,top
Q2,58.895,18.77,0.0,top
R1,13.51,45.77,0.0,top
R10,68.5,44.5,0.0,top
R11,75.5,44.5,0.0,top
R12,82.325,44.5,0.0,top
R13,48.325,52.72,180.0,top
R14,33.75,10.0,0.0,top
R15,32.5,66.99,90.0,top
R16,45.25,9.75,180.0,top
R17,41.8275,9.77,0.0,top
R18,44.25,42.5,0.0,top
R19,36.5,35.75,0.0,top
R2,21.5,10.5,90.0,top
R20,33.5,64.99,270.0,top
R21,34.9725,52.72,180.0,top
R22,75.8675,10.77,180.0,top
R23,75.8675,12.5,180.0,top
R24,75.8475,8.77,0.0,top
R25,76.98,17.0,90.0,top
R26,75.8275,6.77,180.0,top
R27,75.3375,19.77,180.0,top
R28,73.98,17.0,90.0,top
R29,47.0,48.5,180.0,top
R3,68.5,36.5,0.0,top
R30,67.0,19.75,270.0,top
R31,60.3375,10.77,90.0,top
R32,62.3375,15.77,90.0,top
R33,59.8475,12.77,180.0,top
R34,55.895,17.595,90.0,top
R35,54.995,12.77,90.0,top
R36,51.5,17.5,90.0,top
R37,74.01,51.5,180.0,top
R38,64.0,51.5,180.0,top
R39,69.0,51.5,180.0,top
R4,75.5,36.5,0.0,top
R5,82.4,36.5,0.0,top
R6,21.5,42.0,180.0,top
R7,68.25,27.5,0.0,top
R8,18.0,8.0,180.0,top
R9,68.25,25.5,0.0,top
SW1,63.3375,26.77,90.0,top
SW2,42.8475,45.77,0.0,top
SW3,19.0,29.5,0.0,top
SW4,69.0675,4.77,90.0,top
TH1,56.3675,4.77,90.0,top
U1,16.525,54.355,270.0,top
U10,71.06,69.235,180.0,top
U2,23.55,55.72,270.0,top
U3,18.0,13.5,180.0,top
U4,68.5,40.5,0.0,top
U5,75.5,40.5,0.0,top
U6,82.4,40.5,0.0,top
U7,38.545,67.24,270.0,top
U8,45.3375,34.77,270.0,top
U9,65.3375,10.77,90.0,top
Y1,32.5,37.0,90.0,top
